Version,Name,Name_short,Country_code,VS_code,doi,citation
5L,"China, Hong Kong Special Administrative Region",Hong Kong,HK,HK,10.1007/s40271-017-0278-0,"Wong ELY, Ramos-Go<U+00F1>i JM, Cheung AWL, Wong AYK, Rivero-Arias O. Assessing the Use of a Feedback Module to Model EQ-5D-5L Health States Values in Hong Kong. The Patient - Patient-Centered Outcomes Research. 2017;11(2):235-247. doi:10.1007/s40271-017-0278-0"
5L,Hungary,Hungary,HU,HU,10.1016/j.jval.2020.03.019,"Rencz F, Brodszky V, Gul<U+00E1>csi L, Golicki D, Ruzsa G, Pickard AS, Law EH, P<U+00E9>ntek M. Parallel Valuation of the EQ-5D-3L and EQ-5D-5L by Time Trade-Off in Hungary. Value in Health. 2020;23(9):1235-1245. doi:10.1016/j.jval.2020.03.019"
5L,India,India,IN,IN,10.1016/j.jval.2021.11.1370,"Jyani G, Sharma A, Prinja S, Kar SS, Trivedi M, Patro BK, Goyal A, Purba FD, Finch AP, Rajsekar K, Raman S, Stolk E, Kaur M. Development of an EQ-5D Value Set for India Using an Extended Design (DEVINE) Study: The Indian 5-Level Version EQ-5D Value Set. Value in Health. 2022;25(7):1218-1226. doi:10.1016/j.jval.2021.11.1370"
5L,Indonesia,Indonesia,ID,ID,10.1007/s40273-017-0538-9,"Purba FD, Hunfeld JAM, Iskandarsyah A, Fitriana TS, Sadarjoen SS, Ramos-Go<U+00F1>i JM, Passchier J, Busschbach JJV. The Indonesian EQ-5D-5L Value Set. PharmacoEconomics. 2017;35(11):1153-1165. doi:10.1007/s40273-017-0538-9"
5L,Iran (Islamic Republic of),Iran,IR,IR,10.1007/s11136-023-03378-1,"Afshari S, Daroudi R, Goudarzi R, Mahboub<U+2013>Ahari A, Yaseri M, Sari AA, Ameri H, Bahariniya S, Oliaei-Manesh A, Kalavani K, Zare Z, Hasannezhad E, Mirzaei M, Amiri Z. A national survey of Iranian general population to estimate a value set for the EQ-5D-5L. Quality of Life Research. 2023;32(7):2079-2087. doi:10.1007/s11136-023-03378-1"
5L,Ireland,Ireland,IE,IE,10.1007/s40273-018-0690-x,"Hobbins A, Barry L, Kelleher D, Shah K, Devlin N, Goni JMR, O<U+2019>Neill C. Utility Values for Health States in Ireland: A Value Set for the EQ-5D-5L. PharmacoEconomics. 2018;36(11):1345-1353. doi:10.1007/s40273-018-0690-x"
5L,Italy,Italy,IT,IT,10.1016/j.socscimed.2021.114519,"Finch AP, Meregaglia M, Ciani O, Roudijk B, Jommi C. An EQ-5D-5L value set for Italy using videoconferencing interviews and feasibility of a new mode of administration. Social Science &amp; Medicine. 2022;292(list(list(2022, 1))):114519. doi:10.1016/j.socscimed.2021.114519"
5L,Japan,Japan,JP,JP,10.1016/j.jval.2016.03.1834,"Shiroiwa T, Ikeda S, Noto S, Igarashi A, Fukuda T, Saito S, Shimozuma K. Comparison of Value Set Based on DCE and/or TTO Data: Scoring for EQ-5D-5L Health States in Japan. Value in Health. 2016;19(5):648-654. doi:10.1016/j.jval.2016.03.1834"
5L,Republic of Korea,Korea,KR,KR,10.1007/s11136-015-1205-2,"Kim S, Ahn J, Ock M, Shin S, Park J, Luo N, Jo M. The EQ-5D-5L valuation study in Korea. Quality of Life Research. 2016;25(7):1845-1852. doi:10.1007/s11136-015-1205-2"
5L,Malaysia,Malaysia,MY,MY,10.1007/s40273-018-0758-7,"Shafie AA, Vasan Thakumar A, Lim CJ, Luo N, Rand-Hendriksen K, Md Yusof FA. EQ-5D-5L Valuation for the Malaysian Population. PharmacoEconomics. 2018;37(5):715-725. doi:10.1007/s40273-018-0758-7"
5L,Mexico,Mexico,MX,MX,10.1007/s40258-021-00658-0,"Gutierrez-Delgado C, Galindo-Su<U+00E1>rez R, Cruz-Santiago C, Shah K, Papadimitropoulos M, Feng Y, Zamora B, Devlin N. EQ-5D-5L Health-State Values for the Mexican Population. Applied Health Economics and Health Policy. 2021;19(6):905-914. doi:10.1007/s40258-021-00658-0"
5L,Morocco,Morocco,MA,MA,10.1007/s11136-025-03930-1,"Azizi A, Boutib A, Achak D, Purba FD, Rencz F, Saad E, Hilali A, Ahid S, Nejjari C, Stolk EA, Roudijk B, Youlyouz-Marfak I, Marfak A. Valuing health<U+2010>related quality of life: an EQ<U+2010>5D<U+2010>5L value set for Morocco. Quality of Life Research. 2025;34(6):1783-1796. doi:10.1007/s11136-025-03930-1"
5L,Netherlands,Netherlands,NL,NL,10.1016/j.jval.2016.01.003,"M. Versteegh M, M. Vermeulen K, M. A. A. Evers S, de Wit GA, Prenger R, A. Stolk E. Dutch Tariff for the Five-Level Version of EQ-5D. Value in Health. 2016;19(4):343-352. doi:10.1016/j.jval.2016.01.003"
5L,New Zealand,New Zealand,NZ,NZ,10.1016/j.socscimed.2019.112707,"Sullivan T, Hansen P, Ombler F, Derrett S, Devlin N. A new tool for creating personal and social EQ-5D-5L value sets, including valuing <U+2018>dead<U+2019>. Social Science &amp; Medicine. 2020;246(list(list(2020, 2))):112707. doi:10.1016/j.socscimed.2019.112707"
5L,Norway,Norway,NO,NO,10.1007/s11136-024-03837-3,"Garratt AM, Stavem K, Shaw JW, Rand K. EQ-5D-5L value set for Norway: a hybrid model using cTTO and DCE data. Quality of Life Research. 2024;34(2):417-427. doi:10.1007/s11136-024-03837-3"
5L,Peru,Peru,PE,PE,10.1016/j.jval.2020.05.004,"Augustovski F, Beliz<U+00E1>n M, Gibbons L, Reyes N, Stolk E, Craig BM, Tejada RA. Peruvian Valuation of the EQ-5D-5L: A Direct Comparison of Time Trade-Off and Discrete Choice Experiments. Value in Health. 2020;23(7):880-888. doi:10.1016/j.jval.2020.05.004"
5L,Philippines,Philippines,PH,PH,10.1007/s11136-022-03143-w,"Miguel RTD, Rivera AS, Cheng KJG, Rand K, Purba FD, Luo N, Zarsuelo M, Genuino-Marfori AJ, Florentino-Fari<U+00F1>as I, Guerrero AM, Lam HY. Estimating the EQ-5D-5L value set for the Philippines. Quality of Life Research. 2022;31(9):2763-2774. doi:10.1007/s11136-022-03143-w"
5L,Poland,Poland,PL,PL,10.1007/s40273-019-00811-7,"Golicki D, Jakubczyk M, Graczyk K, Niewada M. Valuation of EQ-5D-5L Health States in Poland: the First EQ-VT-Based Study in Central and Eastern Europe. PharmacoEconomics. 2019;37(9):1165-1176. doi:10.1007/s40273-019-00811-7"
5L,Portugal,Portugal,PT,PT,10.1007/s11136-019-02226-5,"Ferreira PL, Antunes P, Ferreira LN, Pereira LN, Ramos-Go<U+00F1>i JM. A hybrid modelling approach for eliciting health state preferences: the Portuguese EQ-5D-5L value set. Quality of Life Research. 2019;28(12):3163-3175. doi:10.1007/s11136-019-02226-5"
5L,Romania,Romania,RO,RO,10.1007/s10198-022-01481-7,"Olariu E, Mohammed W, Oluboyede Y, Caplescu R, Niculescu-Aron IG, Paveliu MS, Vale L. EQ-5D-5L: a value set for Romania. The European Journal of Health Economics. 2022;24(3):399-412. doi:10.1007/s10198-022-01481-7"
5L,Saudi Arabia,Saudi Arabia,SA,SA,10.1016/j.jval.2024.01.017,"Al-jedai A, Almudaiheem H, Al-Salamah T, Aldosari M, Almutairi AR, Almogbel Y, AlRuthia Y, Althemery AU, Alluhidan M, Roudijk B, Purba FD, Awad N, O<U+2019>jeil R. Valuation of EQ-5D-5L in the Kingdom of Saudi Arabia: A National Representative Study. Value in Health. 2024;27(5):552-561. doi:10.1016/j.jval.2024.01.017"
5L,Slovenia,Slovenia,SI,SI,10.1007/s40273-023-01280-9,"Prevolnik Rupel V, Ogorevc M. EQ-5D-5L Value Set for Slovenia. PharmacoEconomics. 2023;41(11):1515-1524. doi:10.1007/s40273-023-01280-9"
5L,Spain,Spain,ES,ES,10.1016/j.jval.2017.10.023,"Ramos-Go<U+00F1>i JM, Craig BM, Oppe M, Ramallo-Fari<U+00F1>a Y, Pinto-Prades JL, Luo N, Rivero-Arias O. Handling Data Quality Issues to Estimate the Spanish EQ-5D-5L Value Set Using a Hybrid Interval Regression Approach. Value in Health. 2018;21(5):596-604. doi:10.1016/j.jval.2017.10.023"
5L,Sweden,Sweden,SE,SE_2020,10.1007/s40273-020-00905-7,"Burstr<U+00F6>m K, Teni FS, Gerdtham U, Leidl R, Helgesson G, Rolfson O, Henriksson M. Experience-Based Swedish TTO and VAS Value Sets for EQ-5D-5L Health States. PharmacoEconomics. 2020;38(8):839-856. doi:10.1007/s40273-020-00905-7"
5L,Sweden,Sweden,SE,SE_2022,10.1186/s12955-022-02083-w,"Sun S, Chuang L, Sahl<U+00E9>n K, Lindholm L, Norstr<U+00F6>m F. Estimating a social value set for EQ-5D-5L in Sweden. Health and Quality of Life Outcomes. 2022;20(1). doi:10.1186/s12955-022-02083-w"
5L,Taiwan,Taiwan,TW,TW,10.1371/journal.pone.0209344,"Lin H, Li C, Lin FJ, Chang J, Gau C, Luo N, Pickard AS, Ramos Go<U+00F1>i JM, Tang C, Hsu C. Valuation of the EQ-5D-5L in Taiwan. PLOS ONE. 2018;13(12):e0209344. doi:10.1371/journal.pone.0209344"
5L,Thailand,Thailand,TH,TH,10.1080/14737167.2018.1494574,"Pattanaphesaj J, Thavorncharoensap M, Ramos-Go<U+00F1>i JM, Tongsiri S, Ingsrisawang L, Teerawattananon Y. The EQ-5D-5L Valuation study in Thailand. Expert Review of Pharmacoeconomics &amp; Outcomes Research. 2018;18(5):551-558. doi:10.1080/14737167.2018.1494574"
5L,Trinidad and Tobago,Trinidad and Tobago,TT,TT,10.1186/s12955-024-02266-7,"Bailey H, Jonker MF, Pullenayegum E, Rencz F, Roudijk B. The EQ-5D-5L valuation study for Trinidad and Tobago. Health and Quality of Life Outcomes. 2024;22(1). doi:10.1186/s12955-024-02266-7"
5L,Uganda,Uganda,UG,UG,10.1007/s40273-021-01101-x,"Yang F, Katumba KR, Roudijk B, Yang Z, Revill P, Griffin S, Ochanda PN, Lamorde M, Greco G, Seeley J, Sculpher M. Developing the EQ-5D-5L Value Set for Uganda Using the <U+2018>Lite<U+2019> Protocol. PharmacoEconomics. 2021;40(3):309-321. doi:10.1007/s40273-021-01101-x"
5L,United Arab Emirates,United Arab Emirates,AE,AE,10.1016/j.jval.2025.01.003,"Al Sayah F, Roudijk B, El Sadig M, Al Mannaei A, Farghaly MN, Dallal S, Kaddoura R, Metni M, Elbarazi I, Kharroubi SA. A Value Set for EQ-5D-5L in the United Arab Emirates. Value in Health. 2025;28(4):611-621. doi:10.1016/j.jval.2025.01.003"
5L,Uruguay,Uruguay,UY,UY,10.1007/s11136-015-1086-4,"Augustovski F, Rey-Ares L, Irazola V, Garay OU, Gianneo O, Fern<U+00E1>ndez G, Morales M, Gibbons L, Ramos-Go<U+00F1>i JM. An EQ-5D-5L value set based on Uruguayan population preferences. Quality of Life Research. 2015;25(2):323-333. doi:10.1007/s11136-015-1086-4"
5L,United States of America,USA,US,US,10.1016/j.jval.2019.02.009,"Pickard AS, Law EH, Jiang R, Pullenayegum E, Shaw JW, Xie F, Oppe M, Boye KS, Chapman RH, Gong CL, Balch A, Busschbach JJ. United States Valuation of EQ-5D-5L Health States Using an International Protocol. Value in Health. 2019;22(8):931-941. doi:10.1016/j.jval.2019.02.009"
5L,Vietnam,Vietnam,VN,VN,10.1007/s11136-020-02469-7,"Mai VQ, Sun S, Minh HV, Luo N, Giang KB, Lindholm L, Sahlen KG. An EQ-5D-5L Value Set for Vietnam. Quality of Life Research. 2020;29(7):1923-1933. doi:10.1007/s11136-020-02469-7"
5L,United Kingdom of Great Britain and Northern Ireland,United Kingdom,UK,UK,10.1016/j.jval.2026.03.008,"Rowen D, Mukuria C, Bray N, Carlton J, Longworth L, Meads D, Oluboyede Y, O<U+2019>Neill C, Yang Y. A UK value set for the EQ-5D-5L. Value in Health. 2026. doi:10.1016/j.jval.2026.03.008"
